Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,RaspberryPi_Pico,RaspberryPi_Pico_Common_Unspecified,330.515,-110.135,180.0,bottom
C1,100nF,C_0402_1005Metric,42.1,-44.6,90.0,bottom
C10,100nF,C_0402_1005Metric,227.8375,-44.6,90.0,bottom
C11,100nF,C_0402_1005Metric,246.8875,-44.6,90.0,bottom
C12,100nF,C_0402_1005Metric,265.9375,-44.6,90.0,bottom
C13,100nF,C_0402_1005Metric,284.9875,-44.6,90.0,bottom
C14,100nF,C_0402_1005Metric,308.8,-44.6,90.0,bottom
C15,100nF,C_0402_1005Metric,332.6125,-44.6,90.0,bottom
C16,100nF,C_0402_1005Metric,42.1,-73.175,90.0,bottom
C17,100nF,C_0402_1005Metric,61.15,-73.175,90.0,bottom
C18,100nF,C_0402_1005Metric,80.2,-73.175,90.0,bottom
C19,100nF,C_0402_1005Metric,99.25,-73.175,90.0,bottom
C2,100nF,C_0402_1005Metric,65.9125,-44.6,90.0,bottom
C20,100nF,C_0402_1005Metric,118.3,-73.175,90.0,bottom
C21,100nF,C_0402_1005Metric,137.35,-73.175,90.0,bottom
C22,100nF,C_0402_1005Metric,156.4,-73.175,90.0,bottom
C23,100nF,C_0402_1005Metric,175.45,-73.175,90.0,bottom
C24,100nF,C_0402_1005Metric,194.5,-73.175,90.0,bottom
C25,100nF,C_0402_1005Metric,213.55,-73.175,90.0,bottom
C26,100nF,C_0402_1005Metric,232.6,-73.175,90.0,bottom
C27,100nF,C_0402_1005Metric,251.65,-73.175,90.0,bottom
C28,100nF,C_0402_1005Metric,270.7,-73.175,90.0,bottom
C29,100nF,C_0402_1005Metric,299.275,-73.175,90.0,bottom
C3,100nF,C_0402_1005Metric,84.9625,-44.6,90.0,bottom
C30,100nF,C_0402_1005Metric,46.8625,-92.225,90.0,bottom
C31,100nF,C_0402_1005Metric,70.675,-92.225,90.0,bottom
C32,100nF,C_0402_1005Metric,89.725,-92.225,90.0,bottom
C33,100nF,C_0402_1005Metric,108.775,-92.225,90.0,bottom
C34,100nF,C_0402_1005Metric,127.825,-92.225,90.0,bottom
C35,100nF,C_0402_1005Metric,146.875,-92.225,90.0,bottom
C36,100nF,C_0402_1005Metric,165.925,-92.225,90.0,bottom
C37,100nF,C_0402_1005Metric,184.975,-92.225,90.0,bottom
C38,100nF,C_0402_1005Metric,204.025,-92.225,90.0,bottom
C39,100nF,C_0402_1005Metric,223.075,-92.225,90.0,bottom
C4,100nF,C_0402_1005Metric,104.0125,-44.6,90.0,bottom
C40,100nF,C_0402_1005Metric,242.125,-92.225,90.0,bottom
C41,100nF,C_0402_1005Metric,261.175,-92.225,90.0,bottom
C42,100nF,C_0402_1005Metric,280.225,-92.225,90.0,bottom
C43,100nF,C_0402_1005Metric,304.0375,-92.225,90.0,bottom
C44,100nF,C_0402_1005Metric,49.24375,-111.275,90.0,bottom
C45,100nF,C_0402_1005Metric,75.4375,-111.275,90.0,bottom
C46,100nF,C_0402_1005Metric,94.4875,-111.275,90.0,bottom
C47,100nF,C_0402_1005Metric,113.5375,-111.275,90.0,bottom
C48,100nF,C_0402_1005Metric,132.5875,-111.275,90.0,bottom
C49,100nF,C_0402_1005Metric,151.6375,-111.275,90.0,bottom
